idx,RX,RY,RZ,RSRP,NR Serving PCI,TX,TY,TZ,dist
1,325914.3338,4151230.631,18.25,-101,1,326243.9057,4151117.936,50.55,349.8015013
2,325915.4252,4151227.839,18.33,-101,1,326243.9057,4151117.936,50.55,347.8738804
3,325916.5167,4151225.046,18.33,-97,1,326243.9057,4151117.936,50.55,345.9685503
4,325917.6081,4151222.255,18.33,-97,1,326243.9057,4151117.936,50.55,344.0795052
5,325918.6907,4151219.463,18.41,-97,1,326243.9057,4151117.936,50.55,342.2068199
6,325919.7822,4151216.67,18.41,-97,1,326243.9057,4151117.936,50.55,340.3489762
7,325920.8736,4151213.878,18.41,-102,1,326243.9057,4151117.936,50.55,338.5078797
8,325921.9651,4151211.085,18.41,-106,1,326243.9057,4151117.936,50.55,336.6830345
9,325923.0566,4151208.294,18.41,-101,1,326243.9057,4151117.936,50.55,334.8756377
10,325924.148,4151205.501,18.41,-96,1,326243.9057,4151117.936,50.55,333.0849674
11,325925.2395,4151202.709,18.41,-101,1,326243.9057,4151117.936,50.55,331.3119197
12,325926.3309,4151199.916,18.41,-93,1,326243.9057,4151117.936,50.55,329.5564498
13,325927.4135,4151197.124,18.76,-102,1,326243.9057,4151117.936,50.55,327.7936182
14,325928.505,4151194.332,18.76,-95,1,326243.9057,4151117.936,50.55,326.0744616
15,325929.5964,4151191.54,18.76,-99,1,326243.9057,4151117.936,50.55,324.3739955
16,325930.6879,4151188.747,18.88,-95,1,326243.9057,4151117.936,50.55,322.6803013
17,325931.7794,4151185.955,18.88,-98,1,326243.9057,4151117.936,50.55,321.0177572
18,325932.8708,4151183.163,18.88,-97,1,326243.9057,4151117.936,50.55,319.3747946
19,325933.9623,4151180.371,18.88,-90,1,326243.9057,4151117.936,50.55,317.7515214
20,325935.0538,4151177.579,19.01,-92,1,326243.9057,4151117.936,50.55,316.1353431
21,325936.1364,4151174.786,19.01,-93,1,326243.9057,4151117.936,50.55,314.5610213
22,325937.2278,4151171.994,19.01,-93,1,326243.9057,4151117.936,50.55,312.9989989
23,325938.3193,4151169.201,19.14,-91,1,326243.9057,4151117.936,50.55,311.4445957
24,325939.4107,4151166.409,19.14,-90,1,326243.9057,4151117.936,50.55,309.9248697
25,325940.5022,4151163.617,19.27,-95,1,326243.9057,4151117.936,50.55,308.4134822
26,325941.5937,4151160.825,19.27,-92,1,326243.9057,4151117.936,50.55,306.9372087
27,325942.6852,4151158.032,19.4,-94,1,326243.9057,4151117.936,50.55,305.4698043
28,325943.7678,4151155.24,19.4,-91,1,326243.9057,4151117.936,50.55,304.0471508
29,325944.8592,4151152.448,19.4,-91,1,326243.9057,4151117.936,50.55,302.6387447
30,325945.9507,4151149.656,19.4,-96,1,326243.9057,4151117.936,50.55,301.2534862
31,325948.1337,4151144.071,19.54,-97,1,326243.9057,4151117.936,50.55,298.5393346
32,325949.2251,4151141.279,19.54,-98,1,326243.9057,4151117.936,50.55,297.2257926
33,325950.3166,4151138.486,19.82,-89,1,326243.9057,4151117.936,50.55,295.9074096
34,325951.4081,4151135.695,19.82,-88,1,326243.9057,4151117.936,50.55,294.6431078
35,325952.4907,4151132.903,19.82,-93,1,326243.9057,4151117.936,50.55,293.4127574
36,325953.5822,4151130.11,19.82,-96,1,326243.9057,4151117.936,50.55,292.1990312
37,325954.6737,4151127.318,19.82,-97,1,326243.9057,4151117.936,50.55,291.0111762
38,325955.7651,4151124.525,19.82,-95,1,326243.9057,4151117.936,50.55,289.8495354
39,325956.8566,4151121.734,19.82,-97,1,326243.9057,4151117.936,50.55,288.7142939
40,325957.9481,4151118.941,20.09,-97,1,326243.9057,4151117.936,50.55,287.577069
41,325959.0396,4151116.149,20.09,-98,1,326243.9057,4151117.936,50.55,286.4955495
42,325960.1311,4151113.356,20.26,-98,1,326243.9057,4151117.936,50.55,285.4233419
43,325961.2137,4151110.564,20.26,-98,1,326243.9057,4151117.936,50.55,284.4056915
44,325962.3052,4151107.773,20.29,-98,1,326243.9057,4151117.936,50.55,283.4039445
45,325963.3967,4151104.98,20.29,-99,1,326243.9057,4151117.936,50.55,282.4337526
46,325964.4882,4151102.188,20.29,-98,1,326243.9057,4151117.936,50.55,281.4921072
47,325965.5796,4151099.395,20.33,-97,1,326243.9057,4151117.936,50.55,280.575186
48,325966.6711,4151096.603,20.33,-98,1,326243.9057,4151117.936,50.55,279.69156
49,325967.7626,4151093.811,20.33,-99,1,326243.9057,4151117.936,50.55,278.8373643
50,325968.8541,4151091.019,20.33,-99,1,326243.9057,4151117.936,50.55,278.0128701
51,325969.9367,4151088.227,20.52,-98,1,326243.9057,4151117.936,50.55,277.2064908
52,325971.0282,4151085.434,20.52,-99,1,326243.9057,4151117.936,50.55,276.4422379
53,325972.1197,4151082.642,20.52,-99,1,326243.9057,4151117.936,50.55,275.7083552
54,325973.2112,4151079.85,20.52,-99,1,326243.9057,4151117.936,50.55,275.0051938
55,325974.3027,4151077.058,20.56,-99,1,326243.9057,4151117.936,50.55,274.3286142
56,325975.3942,4151074.265,20.56,-100,1,326243.9057,4151117.936,50.55,273.6877454
57,325975.3942,4151074.265,20.56,-97,1,326243.9057,4151117.936,50.55,273.6877454
58,325977.5683,4151068.68,20.59,-99,1,326243.9057,4151117.936,50.55,272.505717
59,325978.6598,4151065.888,20.59,-100,1,326243.9057,4151117.936,50.55,271.9595252
60,325979.7513,4151063.097,20.76,-99,1,326243.9057,4151117.936,50.55,271.4264303
61,325980.8428,4151060.304,20.76,-100,1,326243.9057,4151117.936,50.55,270.9446085
62,325981.9343,4151057.512,20.79,-101,1,326243.9057,4151117.936,50.55,270.4916483
63,325983.0258,4151054.719,20.79,-99,1,326243.9057,4151117.936,50.55,270.0747469
64,325984.1173,4151051.927,20.79,-98,1,326243.9057,4151117.936,50.55,269.690301
65,325985.2088,4151049.135,20.82,-100,1,326243.9057,4151117.936,50.55,269.3353608
66,325986.2915,4151046.343,20.82,-101,1,326243.9057,4151117.936,50.55,269.025104
67,325987.383,4151043.551,20.82,-100,1,326243.9057,4151117.936,50.55,268.7394588
68,325988.4745,4151040.758,20.82,-99,1,326243.9057,4151117.936,50.55,268.4872707
69,325989.566,4151037.966,20.98,-99,1,326243.9057,4151117.936,50.55,268.2503845
70,325990.6575,4151035.174,20.98,-100,1,326243.9057,4151117.936,50.55,268.0645153
71,325991.749,4151032.382,20.98,-95,1,326243.9057,4151117.936,50.55,267.9120624
72,325992.8405,4151029.589,20.98,-97,1,326243.9057,4151117.936,50.55,267.7934128
73,325993.932,4151026.797,21.01,-100,1,326243.9057,4151117.936,50.55,267.70465
74,325995.0146,4151024.004,21.01,-99,1,326243.9057,4151117.936,50.55,267.6613754
75,325996.1062,4151021.213,21.01,-95,1,326243.9057,4151117.936,50.55,267.6425649
76,325997.1977,4151018.421,21.04,-92,1,326243.9057,4151117.936,50.55,267.6544649
77,325998.2892,4151015.628,21.04,-98,1,326243.9057,4151117.936,50.55,267.7036272
78,326000.7326,4151016.572,21.36,-95,1,326243.9057,4151117.936,50.55,265.0657902
79,326003.1848,4151017.514,21.36,-91,1,326243.9057,4151117.936,50.55,262.4560647
80,326005.6281,4151018.457,21.36,-91,1,326243.9057,4151117.936,50.55,259.8544635
81,326008.0804,4151019.401,21.36,-89,1,326243.9057,4151117.936,50.55,257.244581
82,326010.5237,4151020.343,21.65,-85,1,326243.9057,4151117.936,50.55,254.6110005
83,326012.976,4151021.287,21.65,-81,1,326243.9057,4151117.936,50.55,252.0015189
84,326015.4194,4151022.23,21.65,-83,1,326243.9057,4151117.936,50.55,249.4009577
85,326017.8716,4151023.173,21.65,-84,1,326243.9057,4151117.936,50.55,246.7927279
86,326020.3149,4151024.116,22.29,-93,1,326243.9057,4151117.936,50.55,244.1181391
87,326022.7672,4151025.059,22.29,-89,1,326243.9057,4151117.936,50.55,241.5098361
