idx,RX,RY,RZ,RSRP,NR Serving,TX,TY,TZ,azimuth,tilts
1,325898.8896,4151221.929,21,-101,1,325925.3433,4151245.636,89,176,17
2,325900.0048,4151218.806,21,-101,1,325925.3433,4151245.636,89,176,17
3,325901.1203,4151215.682,21,-97,1,325925.3433,4151245.636,89,176,17
4,325902.2318,4151212.56,21,-97,1,325925.3433,4151245.636,89,176,17
5,325903.3418,4151209.437,21,-97,1,325925.3433,4151245.636,89,176,17
6,325904.4573,4151206.313,21,-97,1,325925.3433,4151245.636,89,176,17
7,325905.5723,4151203.19,21,-102,1,325925.3433,4151245.636,89,176,17
8,325906.688,4151200.066,21,-106,1,325925.3433,4151245.636,89,176,17
9,325907.8029,4151196.943,21,-101,1,325925.3433,4151245.636,89,176,17
10,325908.9186,4151193.819,21,-96,1,325925.3433,4151245.636,89,176,17
11,325910.0334,4151190.696,21,-101,1,325925.3433,4151245.636,89,176,17
12,325911.1378,4151187.572,21,-93,1,325925.3433,4151245.636,89,176,17
13,325912.2558,4151184.449,21,-102,1,325925.3433,4151245.636,89,176,17
14,325913.3709,4151181.326,21,-95,1,325925.3433,4151245.636,89,176,17
15,325914.4858,4151178.203,21,-99,1,325925.3433,4151245.636,89,176,17
16,325915.6017,4151175.079,21,-95,1,325925.3433,4151245.636,89,176,17
17,325916.7164,4151171.956,21,-98,1,325925.3433,4151245.636,89,176,17
18,325917.8323,4151168.832,21,-97,1,325925.3433,4151245.636,89,176,17
19,325918.9477,4151165.709,21,-90,1,325925.3433,4151245.636,89,176,17
20,325920.0434,4151162.586,21,-92,1,325925.3433,4151245.636,89,176,17
21,325921.1692,4151159.462,21,-93,1,325925.3433,4151245.636,89,176,17
22,325922.2839,4151156.339,21,-93,1,325925.3433,4151245.636,89,176,17
23,325923.4001,4151153.215,21,-91,1,325925.3433,4151245.636,89,176,17
24,325924.5154,4151150.092,21,-90,1,325925.3433,4151245.636,89,176,17
25,325925.6307,4151146.969,22,-95,1,325925.3433,4151245.636,89,176,17
26,325926.7441,4151143.846,22,-92,1,325925.3433,4151245.636,89,176,17
27,325927.8372,4151140.721,22,-94,1,325925.3433,4151245.636,89,176,17
28,325928.9666,4151137.599,22,-91,1,325925.3433,4151245.636,89,176,17
29,325930.0832,4151134.475,22,-91,1,325925.3433,4151245.636,89,176,17
30,325931.198,4151131.352,22,-96,1,325925.3433,4151245.636,89,176,17
31,325933.3221,4151125.405,22,-97,1,325925.3433,4151245.636,89,176,17
32,325934.4362,4151122.282,22,-98,1,325925.3433,4151245.636,89,176,17
33,325935.554,4151119.158,21,-89,1,325925.3433,4151245.636,89,176,17
34,325936.6363,4151116.036,21,-88,1,325925.3433,4151245.636,89,176,17
35,325937.7733,4151112.913,21,-93,1,325925.3433,4151245.636,89,176,17
36,325938.8886,4151109.789,21,-96,1,325925.3433,4151245.636,89,176,17
37,325940.0035,4151106.665,21,-97,1,325925.3433,4151245.636,89,176,17
38,325941.122,4151103.541,21,-95,1,325925.3433,4151245.636,89,176,17
39,325942.2344,4151100.419,21,-97,1,325925.3433,4151245.636,89,176,17
40,325943.3517,4151097.295,21,-97,1,325925.3433,4151245.636,89,176,17
41,325944.4651,4151094.172,22,-98,1,325925.3433,4151245.636,89,176,17
42,325945.5423,4151091.048,22,-98,1,325925.3433,4151245.636,89,176,17
43,325946.6906,4151087.925,22,-98,1,325925.3433,4151245.636,89,176,17
44,325947.8022,4151084.803,22,-98,1,325925.3433,4151245.636,89,176,17
45,325948.9176,4151081.679,22,-99,1,325925.3433,4151245.636,89,176,17
46,325950.0324,4151078.555,22,-98,1,325925.3433,4151245.636,89,176,17
47,325951.1498,4151075.431,22,-97,1,325925.3433,4151245.636,89,176,17
48,325952.2652,4151072.308,22,-98,1,325925.3433,4151245.636,89,176,17
49,325953.381,4151069.185,22,-99,1,325925.3433,4151245.636,89,176,17
50,325954.4487,4151066.062,22,-99,1,325925.3433,4151245.636,89,176,17
51,325955.6005,4151062.939,22,-98,1,325925.3433,4151245.636,89,176,17
52,325956.7177,4151059.815,22,-99,1,325925.3433,4151245.636,89,176,17
53,325957.8337,4151056.692,22,-99,1,325925.3433,4151245.636,89,176,17
54,325958.9465,4151053.569,22,-99,1,325925.3433,4151245.636,89,176,17
55,325960.0618,4151050.445,22,-99,1,325925.3433,4151245.636,89,176,17
56,325961.1215,4151048.129,22,-100,1,325925.3433,4151245.636,89,176,17
57,325962.1963,4151046.172,22,-97,1,325925.3433,4151245.636,89,176,17
58,325962.8862,4151043.615,22,-99,1,325925.3433,4151245.636,89,176,17
59,325964.0759,4151040.517,22,-100,1,325925.3433,4151245.636,89,176,17
60,325965.2625,4151037.419,22,-99,1,325925.3433,4151245.636,89,176,17
61,325966.4527,4151034.32,22,-100,1,325925.3433,4151245.636,89,176,17
62,325967.6392,4151031.221,22,-101,1,325925.3433,4151245.636,89,176,17
63,325968.8346,4151028.121,22,-99,1,325925.3433,4151245.636,89,176,17
64,325970.0209,4151025.023,22,-98,1,325925.3433,4151245.636,89,176,17
65,325971.1525,4151021.924,22,-100,1,325925.3433,4151245.636,89,176,17
66,325972.3921,4151018.826,23,-101,1,325925.3433,4151245.636,89,176,17
67,325973.5783,4151015.727,23,-100,1,325925.3433,4151245.636,89,176,17
